node1,node2,weight,time1,time2
12,12,0.9697,1,2
14,14,0.97701,1,2
12,12,0.96855,2,3
14,14,0.9711,2,3
12,12,0.9434,3,4
14,14,0.9411799999999999,3,4
12,12,0.9285700000000001,4,5
14,14,0.92486,4,5
12,9,0.058824,5,6
12,12,0.8756799999999999,5,6
14,12,0.053190999999999995,5,6
14,14,0.86813,5,6
12,12,0.78022,6,7
9,9,0.41667,6,7
12,9,0.18065,6,7
14,9,0.12080999999999999,6,7
14,14,0.10101,6,7
14,14,0.8484799999999999,6,7
12,27,0.16162,7,8
9,27,0.083333,7,8
12,12,0.8407600000000001,7,8
14,12,0.025,7,8
9,9,0.74483,7,8
14,9,0.27329000000000003,7,8
14,14,0.25,7,8
14,14,0.5614,7,8
12,12,0.4301100000000001,8,9
9,23,0.20202,8,9
14,23,0.038462,8,9
12,14,0.50617,8,9
9,14,0.022599,8,9
14,14,0.55385,8,9
27,9,0.23214,8,9
12,9,0.023528999999999998,8,9
9,9,0.8,8,9
12,12,0.72222,9,10
14,12,0.019048,9,10
9,12,0.035398,9,10
12,9,0.03125,9,10
23,9,0.084034,9,10
9,9,0.89756,9,10
12,14,0.01626,9,10
23,14,0.087719,9,10
14,14,0.8541700000000001,9,10
9,14,0.038095,10,11
14,14,0.8390200000000001,10,11
12,12,0.51852,10,11
9,12,0.068493,10,11
14,12,0.19858,10,11
12,9,0.035398,10,11
9,9,0.85854,10,11
14,14,0.82796,11,12
14,54,0.33871,11,12
14,9,0.019704,11,12
12,9,0.057553999999999994,11,12
9,9,0.85859,11,12
14,12,0.026316000000000003,11,12
12,12,0.72727,11,12
9,12,0.095238,11,12
14,12,0.040816000000000005,12,13
54,12,0.31343000000000004,12,13
9,12,0.26291,12,13
12,12,0.61728,12,13
14,9,0.025157,12,13
9,9,0.70455,12,13
14,14,0.9,12,13
54,14,0.020408000000000003,12,13
9,14,0.011299,12,13
12,9,0.03125,13,14
9,9,0.7871,13,14
14,9,0.10255999999999996,13,14
12,12,0.91589,13,14
14,12,0.022472,13,14
9,14,0.11429,13,14
14,14,0.8085100000000001,13,14
9,9,0.8,14,15
14,9,0.35556,14,15
12,12,0.94301,14,15
12,14,0.015625,14,15
14,14,0.52747,14,15
14,14,0.71111,15,16
9,9,0.9487200000000001,15,16
14,9,0.041379,15,16
12,12,0.9418,15,16
14,12,0.06451599999999999,15,16
14,12,0.21211999999999998,16,17
12,12,0.8909999999999999,16,17
9,9,0.94694,16,17
12,9,0.0089286,16,17
12,9,0.032652999999999995,17,18
9,9,0.9147299999999999,17,18
12,12,0.92661,17,18
9,13,0.38323,18,19
12,13,0.014286000000000004,18,19
12,12,0.90995,18,19
9,9,0.7510899999999999,18,19
12,9,0.009901,18,19
13,12,0.15172,19,20
12,12,0.85185,19,20
13,13,0.44,19,20
9,13,0.035713999999999996,19,20
13,9,0.069444,19,20
12,9,0.074419,19,20
9,9,0.8543700000000001,19,20
9,9,0.9064,20,21
12,7,0.33557,20,21
9,7,0.094595,20,21
12,12,0.6824600000000001,20,21
13,12,0.2069,20,21
9,12,0.0095238,20,21
9,12,0.10405,21,22
12,12,0.6,21,22
9,7,0.01105,21,22
7,7,0.57143,21,22
12,7,0.41489,21,22
9,9,0.8837200000000001,21,22
7,9,0.017093999999999998,21,22
12,7,0.023669,22,23
7,7,0.8587600000000001,22,23
9,7,0.10714000000000001,22,23
12,12,0.84706,22,23
7,12,0.011236,22,23
9,12,0.059172,22,23
9,9,0.7907,22,23
12,12,0.8958299999999999,23,24
9,12,0.18420999999999998,23,24
7,9,0.34483,23,24
9,9,0.5283,23,24
7,7,0.77215,23,24
12,7,0.012579,23,24
9,7,0.016807,23,24
12,7,0.039800999999999996,24,25
9,7,0.23226,24,25
7,7,0.78571,24,25
9,9,0.58537,24,25
7,9,0.021053,24,25
12,12,0.93596,24,25
9,12,0.063694,24,25
7,36,0.072072,25,26
12,36,0.10619,25,26
7,7,0.9005200000000001,25,26
9,7,0.016949000000000002,25,26
7,12,0.035556,25,26
9,12,0.31579,25,26
12,12,0.79295,25,26
36,7,0.13333,26,27
7,7,0.9189200000000001,26,27
7,12,0.027149,26,27
12,12,0.91765,26,27
36,36,0.33333,26,27
12,36,0.060605999999999986,26,27
7,7,0.8979600000000001,27,28
12,7,0.025862,27,28
36,7,0.12844,27,28
7,12,0.035088,27,28
12,12,0.88636,27,28
7,50,0.15385,28,29
12,50,0.053690999999999996,28,29
7,7,0.85106,28,29
12,7,0.009090899999999999,28,29
12,12,0.81034,28,29
