node1,node2,weight,time1,time2
11,3,0.027211000000000003,1,2
3,3,0.6087,1,2
11,3,0.25899,1,2
11,11,0.89691,1,2
3,11,0.017241,1,2
46,11,0.036364,1,2
11,11,0.8642,1,2
11,46,0.01626,1,2
11,46,0.034783,1,2
46,46,0.66667,1,2
11,11,0.7957,2,3
46,11,0.27826,2,3
11,30,0.016529,2,3
11,30,0.26804,2,3
46,30,0.28,2,3
3,11,0.53659,2,3
11,11,0.10427,2,3
11,11,0.54545,2,3
30,30,0.42857,3,4
11,30,0.21918,3,4
11,11,0.8436,3,4
11,51,0.33043,3,4
11,51,0.057142999999999985,3,4
11,11,0.75556,3,4
30,11,0.22609,3,4
11,51,0.034187999999999996,4,5
51,51,0.6087,4,5
11,51,0.072072,4,5
30,11,0.33333,4,5
11,11,0.0095694,4,5
11,11,0.80788,4,5
11,11,0.9052600000000001,4,5
51,11,0.05042,4,5
51,11,0.29577,5,6
11,11,0.017093999999999998,5,6
11,11,0.8,5,6
11,11,0.91064,5,6
11,11,0.046296,5,6
11,11,0.85841,6,7
11,11,0.055336,6,7
11,11,0.88976,6,7
11,48,0.14062,6,7
11,11,0.9315100000000001,7,8
11,11,0.01626,7,8
11,11,0.8791200000000001,7,8
48,11,0.10811,7,8
11,11,0.009434,8,9
11,11,0.7364,8,9
11,11,0.9132399999999999,8,9
11,11,0.01626,8,9
11,18,0.45556,8,9
11,18,0.13139,9,10
18,18,0.61538,9,10
11,39,0.01626,9,10
11,39,0.23076999999999998,9,10
11,11,0.8235299999999999,9,10
18,11,0.11594000000000006,9,10
11,11,0.9081600000000001,9,10
18,11,0.029197000000000008,9,10
18,11,0.061728,10,11
39,11,0.2973,10,11
11,11,0.8325799999999999,10,11
18,18,0.59259,10,11
18,11,0.17143,10,11
11,11,0.88,10,11
18,11,0.28037,11,12
11,11,0.72539,11,12
11,5,0.58101,11,12
11,11,0.62626,11,12
11,3,0.0125,11,12
11,3,0.43478,11,12
5,11,0.16949,12,13
11,11,0.77372,12,13
3,11,0.020202,12,13
11,3,0.013605,12,13
5,3,0.018018,12,13
11,3,0.23076999999999998,12,13
3,3,0.67391,12,13
11,11,0.85561,12,13
5,11,0.039735,12,13
3,11,0.015152,12,13
11,5,0.031007999999999997,12,13
5,5,0.6451600000000001,12,13
11,5,0.07142899999999999,12,13
11,11,0.83505,13,14
5,11,0.073529,13,14
11,3,0.5,13,14
3,3,0.63354,13,14
11,3,0.009950200000000001,13,14
5,3,0.013986000000000002,13,14
11,5,0.30159,13,14
11,5,0.06289299999999999,13,14
5,5,0.59406,13,14
11,3,0.11163,14,15
3,3,0.8198200000000001,14,15
5,3,0.033333,14,15
11,11,0.61333,14,15
3,11,0.017241,14,15
5,11,0.56842,14,15
3,11,0.008403399999999998,15,16
11,11,0.8951600000000001,15,16
