node1,node2,weight,time1,time2
21,21,0.9281799999999999,1,2
12,12,0.9791700000000001,1,2
12,62,0.040404,2,3
12,12,0.94681,2,3
21,21,0.87879,2,3
62,21,0.052174,3,4
12,21,0.0098039,3,4
21,21,0.8675799999999999,3,4
12,12,0.9361700000000001,3,4
21,12,0.0098522,3,4
21,43,0.12174000000000001,3,4
21,21,0.87736,4,5
12,12,0.8932,4,5
43,12,0.10169,4,5
21,9,0.16129000000000002,4,5
43,9,0.1,4,5
12,12,0.37240999999999996,5,6
12,12,0.70968,5,6
21,9,0.033898000000000005,5,6
12,9,0.015625,5,6
9,9,0.6,5,6
21,21,0.92,5,6
12,21,0.038095,5,6
12,12,0.62264,6,7
12,12,0.095238,6,7
21,12,0.30409,6,7
12,21,0.020408000000000003,6,7
12,21,0.014388,6,7
21,21,0.7239300000000001,6,7
12,12,0.76562,6,7
12,9,0.12697999999999998,6,7
9,9,0.52941,6,7
21,9,0.093333,6,7
21,9,0.20915,7,8
12,9,0.1831,7,8
9,9,0.71429,7,8
12,12,0.73529,7,8
21,12,0.03125,7,8
12,12,0.13675,7,8
12,21,0.27419,7,8
21,21,0.60345,7,8
12,12,0.61333,7,8
21,21,0.5,8,9
9,9,0.90217,8,9
21,9,0.095238,8,9
12,9,0.017093999999999998,8,9
12,12,0.74419,8,9
21,12,0.2875,8,9
12,12,0.13846,8,9
9,12,0.040404,8,9
12,12,0.375,8,9
21,9,0.18898,9,10
9,9,0.86139,9,10
21,12,0.045113,9,10
9,12,0.019231,9,10
12,12,0.8597299999999999,9,10
12,12,0.11382,9,10
9,9,0.9049799999999999,10,11
12,9,0.026432,10,11
9,12,0.0181,10,11
12,12,0.88987,10,11
9,12,0.0093023,11,12
12,12,0.89302,11,12
9,9,0.9124399999999999,11,12
12,9,0.0092166,11,12
12,53,0.10084,11,12
12,12,0.9405899999999999,12,13
9,12,0.029412,12,13
12,9,0.0095238,12,13
9,9,0.86792,12,13
53,9,0.017544,12,13
12,53,0.017856999999999998,12,13
53,53,0.5,12,13
12,12,0.89474,13,14
9,12,0.010101,13,14
12,9,0.045662,13,14
9,9,0.8458100000000001,13,14
53,9,0.13953,13,14
12,9,0.019704,14,15
9,9,0.87931,14,15
12,12,0.88889,14,15
9,17,0.11024,14,15
9,17,0.07874,15,16
12,17,0.038462,15,16
17,17,0.54545,15,16
9,9,0.9058299999999999,15,16
12,9,0.01,15,16
12,12,0.8804299999999999,15,16
17,6,0.11765,16,17
9,6,0.38095,16,17
12,6,0.015267,16,17
12,5,0.5303,16,17
17,12,0.23256,16,17
12,12,0.66265,16,17
9,9,0.79381,16,17
12,9,0.011236,16,17
6,12,0.054545,17,18
5,12,0.018018,17,18
12,12,0.92414,17,18
6,6,0.58824,17,18
5,6,0.023256,17,18
12,6,0.05,17,18
9,6,0.075758,17,18
5,5,0.55,17,18
12,5,0.017544,17,18
9,5,0.14286,17,18
6,9,0.018182,17,18
5,9,0.054054,17,18
9,9,0.8789799999999999,17,18
12,12,0.63551,18,19
12,6,0.28570999999999996,18,19
6,6,0.72131,18,19
12,5,0.13605,18,19
5,5,0.68966,18,19
9,5,0.12245,18,19
5,9,0.021053,18,19
9,9,0.8254,18,19
12,5,0.05925900000000001,19,20
5,5,0.7771399999999999,19,20
9,5,0.27273000000000003,19,20
9,46,0.29031999999999997,19,20
12,6,0.09302300000000001,19,20
6,6,0.7929,19,20
9,6,0.13514,19,20
12,12,0.67692,19,20
6,12,0.11429,19,20
5,12,0.019048,19,20
46,6,0.074074,20,21
6,6,0.87629,20,21
5,5,0.7772899999999999,20,21
6,5,0.044843,20,21
12,5,0.36478,20,21
6,6,0.90099,21,22
5,6,0.017315999999999998,21,22
5,5,0.88797,21,22
