node1,node2,weight,time1,time2
2,2,0.9502799999999999,1,2
4,4,0.93855,1,2
4,4,0.9340700000000001,2,3
4,39,0.021738999999999998,2,3
22,22,0.46153999999999995,2,3
2,22,0.020202,2,3
2,2,0.91209,2,3
4,2,0.010101,3,4
39,2,0.055555999999999994,3,4
2,2,0.87879,3,4
4,4,0.81407,3,4
22,4,0.15517,3,4
2,4,0.01005,3,4
4,4,0.88785,4,5
2,2,0.8241200000000001,4,5
4,2,0.01,4,5
2,10,0.2381,4,5
4,10,0.047244,4,5
4,4,0.69406,5,6
2,4,0.0097561,5,6
10,4,0.28788,5,6
4,4,0.24,5,6
4,2,0.048544,5,6
2,2,0.8958299999999999,5,6
4,4,0.16541,6,7
4,4,0.35896999999999996,6,7
4,2,0.070796,6,7
2,2,0.91753,6,7
4,4,0.86111,6,7
2,4,0.049261,6,7
2,4,0.010811,7,8
4,4,0.85567,7,8
4,2,0.18605,7,8
2,2,0.85714,7,8
4,4,0.36364,7,8
4,4,0.22046999999999997,7,8
4,12,0.011976,8,9
2,12,0.57297,8,9
4,12,0.28,8,9
2,2,0.62112,8,9
4,4,0.95455,8,9
2,4,0.010309,8,9
2,4,0.075758,9,10
4,4,0.8,9,10
12,12,0.8727299999999999,9,10
2,12,0.056738,9,10
2,2,0.8484799999999999,9,10
12,3,0.093458,9,10
4,3,0.25861999999999996,9,10
12,12,0.85535,10,11
2,12,0.017093999999999998,10,11
3,12,0.019802,10,11
4,4,0.7619,10,11
4,2,0.11765,10,11
12,2,0.013793000000000001,10,11
2,2,0.7378600000000001,10,11
4,3,0.24113,10,11
12,3,0.17332999999999998,10,11
3,3,0.58696,10,11
12,3,0.59259,11,12
3,3,0.64444,11,12
12,2,0.044199,11,12
4,2,0.53503,11,12
2,2,0.5988,11,12
12,39,0.12987,11,12
3,3,0.88889,12,13
39,3,0.017699,12,13
2,2,0.9279299999999999,12,13
39,2,0.050847,12,13
3,3,0.86154,13,14
3,14,0.016807,13,14
2,14,0.14515999999999998,13,14
3,42,0.15385,13,14
3,2,0.019048,13,14
2,2,0.8744200000000001,13,14
3,2,0.011173,14,15
42,2,0.15842,14,15
2,2,0.75258,14,15
3,3,0.91765,14,15
3,14,0.016807,14,15
14,14,0.51163,14,15
2,14,0.1791,14,15
2,14,0.12080999999999999,15,16
3,14,0.18571,15,16
14,14,0.62921,15,16
3,3,0.88,15,16
2,2,0.86188,15,16
14,14,0.87805,16,17
3,14,0.10525999999999999,16,17
2,14,0.012903,16,17
3,2,0.025478,16,17
2,2,0.92737,16,17
14,3,0.033898000000000005,16,17
3,3,0.84375,16,17
3,3,0.6087,17,18
2,2,0.9132899999999999,17,18
14,14,0.78571,17,18
2,14,0.03125,17,18
3,14,0.26994,17,18
3,14,0.014925,18,19
2,14,0.010753,18,19
14,14,0.89756,18,19
3,2,0.3125,18,19
2,2,0.76667,18,19
14,2,0.01005,18,19
2,48,0.090909,18,19
14,2,0.028037,19,20
2,2,0.8846200000000001,19,20
48,2,0.017241,19,20
14,14,0.8835,19,20
48,14,0.055555999999999994,19,20
2,2,0.76498,20,21
14,2,0.028707999999999997,20,21
14,42,0.074766,20,21
2,14,0.028571,20,21
14,14,0.86139,20,21
2,10,0.30657,20,21
2,10,0.1931,21,22
10,10,0.49231,21,22
2,2,0.86829,21,22
42,2,0.07767,21,22
14,2,0.010101,21,22
2,58,0.017241,21,22
14,58,0.055046000000000005,21,22
14,14,0.8921600000000001,21,22
10,14,0.10687,21,22
58,14,0.16667,22,23
14,14,0.40559,22,23
10,2,0.017093999999999998,22,23
2,2,0.73446,22,23
58,2,0.13635999999999998,22,23
14,2,0.010929000000000001,22,23
10,10,0.31579,22,23
14,10,0.67337,22,23
10,4,0.28947,22,23
2,4,0.36765,22,23
10,10,0.8268200000000001,23,24
4,10,0.13115,23,24
14,43,0.044444,23,24
10,43,0.11880999999999999,23,24
14,2,0.52632,23,24
2,2,0.54335,23,24
10,2,0.031745999999999996,23,24
4,2,0.015152,23,24
2,4,0.27419,23,24
4,4,0.6506,23,24
10,2,0.031915,24,25
43,2,0.072727,24,25
2,2,0.80808,24,25
10,10,0.69072,24,25
43,10,0.017241,24,25
2,10,0.019608,24,25
4,10,0.4,24,25
2,55,0.020619,24,25
4,55,0.041667,24,25
10,10,0.81633,25,26
55,10,0.022472,25,26
10,24,0.10435,25,26
2,2,0.875,25,26
10,2,0.018692,25,26
10,2,0.010362999999999999,26,27
24,2,0.035713999999999996,26,27
2,2,0.91943,26,27
10,10,0.95506,26,27
2,28,0.037037,27,28
10,10,0.93855,27,28
2,2,0.93953,27,28
2,2,0.9532700000000001,28,29
28,10,0.043956,28,29
10,10,0.91525,28,29
10,26,0.060605999999999986,28,29
2,2,0.9223299999999999,29,30
26,2,0.07142899999999999,29,30
10,10,0.89266,29,30
10,26,0.074766,29,30
26,26,0.48276,29,30
2,2,0.8651200000000001,30,31
26,2,0.24241999999999997,30,31
10,10,0.94915,30,31
2,10,0.064815,31,32
10,10,0.8481700000000001,31,32
2,2,0.9108,31,32
2,2,0.92611,32,33
10,61,0.17544,32,33
10,10,0.8541700000000001,32,33
2,10,0.019802,33,34
61,10,0.018182,33,34
10,10,0.8617,33,34
2,44,0.09174299999999999,33,34
2,2,0.8450700000000001,33,34
61,2,0.16529000000000002,33,34
10,2,0.019608,34,35
2,2,0.90233,34,35
10,10,0.78351,34,35
44,10,0.09901,34,35
2,10,0.0097561,34,35
10,34,0.18349000000000001,34,35
2,39,0.28346,35,36
2,10,0.0097087,35,36
10,10,0.85714,35,36
34,10,0.018018,35,36
2,2,0.80583,35,36
34,2,0.12613,35,36
39,39,0.58462,36,37
10,39,0.20833000000000002,36,37
2,39,0.027777999999999997,36,37
39,10,0.020202,36,37
10,10,0.8202200000000001,36,37
39,2,0.023256,36,37
2,2,0.70303,36,37
10,2,0.078431,36,37
2,2,0.43137,36,37
39,39,0.8125,37,38
10,39,0.10769000000000001,37,38
2,39,0.034187999999999996,37,38
39,10,0.08,37,38
10,10,0.74627,37,38
10,2,0.06666699999999999,37,38
2,2,0.058394000000000015,37,38
2,2,0.8,37,38
39,2,0.021738999999999998,37,38
2,2,0.81416,37,38
39,39,0.43478,38,39
10,39,0.41667,38,39
39,2,0.44443999999999995,38,39
10,2,0.043164999999999995,38,39
2,2,0.68702,38,39
10,2,0.2649,38,39
2,2,0.8024,38,39
39,2,0.016,39,40
2,2,0.9,39,40
39,2,0.29167,39,40
2,2,0.80214,39,40
2,2,0.01005,39,40
39,34,0.28570999999999996,39,40
2,34,0.043477999999999996,39,40
2,2,0.93204,40,41
34,2,0.018018,40,41
2,2,0.9239799999999999,40,41
34,2,0.063158,40,41
2,2,0.021505,41,42
2,2,0.9058799999999999,41,42
2,2,0.90233,41,42
2,2,0.020101,41,42
2,2,0.010309,42,43
2,2,0.9237700000000001,42,43
2,2,0.8125,42,43
2,54,0.21053000000000002,42,43
2,36,0.10255999999999996,43,44
2,2,0.83186,43,44
54,2,0.14173,43,44
2,2,0.94194,43,44
2,2,0.92035,44,45
2,45,0.033333,44,45
36,2,0.125,44,45
2,2,0.86905,44,45
2,2,0.019324,45,46
45,2,0.079208,45,46
2,2,0.8602200000000001,45,46
2,2,0.90909,45,46
2,2,0.01005,45,46
2,13,0.06557400000000001,46,47
2,13,0.13333,46,47
2,2,0.84536,46,47
2,2,0.9005200000000001,46,47
2,2,0.039216,46,47
13,13,0.8,47,48
2,13,0.036697,47,48
13,2,0.079208,47,48
2,2,0.85,47,48
2,2,0.05649700000000001,47,48
2,2,0.8342200000000001,47,48
13,2,0.4,48,49
2,2,0.71591,48,49
2,2,0.022599,48,49
2,2,0.93814,48,49
2,2,0.8952399999999999,49,50
2,2,0.019139,49,50
2,2,0.8952399999999999,49,50
2,2,0.017391,50,51
2,2,0.9170299999999999,50,51
2,2,0.9181799999999999,50,51
2,2,0.0091324,50,51
2,2,0.6702100000000001,51,52
2,2,0.867,51,52
2,57,0.028776999999999997,51,52
2,57,0.23256,51,52
2,26,0.54335,51,52
2,2,0.84277,52,53
2,2,0.021738999999999998,52,53
57,2,0.27273000000000003,52,53
2,26,0.015038,52,53
26,26,0.7957,52,53
2,2,0.8901100000000001,52,53
26,2,0.042254,52,53
2,54,0.14140999999999998,53,54
26,54,0.041667,53,54
2,2,0.29907,53,54
2,2,0.81522,53,54
2,2,0.065934,53,54
2,2,0.021277,53,54
26,2,0.49635,53,54
2,2,0.55914,53,54
54,2,0.016529,54,55
2,2,0.19847,54,55
2,2,0.8446600000000001,54,55
54,2,0.076923,54,55
2,2,0.8601,54,55
2,42,0.14634,55,56
2,2,0.019139,55,56
2,2,0.9479200000000001,55,56
2,2,0.86239,55,56
2,2,0.90141,56,57
42,2,0.14159000000000002,56,57
2,2,0.8643200000000001,56,57
2,43,0.037383,56,57
2,2,0.8756200000000001,57,58
43,2,0.04,57,58
2,2,0.8959299999999999,57,58
2,2,0.009259299999999998,57,58
2,53,0.018868,58,59
2,53,0.1157,58,59
2,2,0.8936200000000001,58,59
2,2,0.019139,58,59
2,2,0.85714,58,59
2,29,0.086207,59,60
53,2,0.12613,59,60
2,2,0.8601,59,60
2,2,0.018692,59,60
2,2,0.8520200000000001,59,60
29,2,0.017391,60,61
2,2,0.90141,60,61
2,2,0.009009,60,61
2,2,0.018519,60,61
2,2,0.8622200000000001,60,61
29,29,0.42857,60,61
2,29,0.099174,60,61
2,2,0.8899100000000001,61,62
29,2,0.05128200000000002,61,62
2,2,0.027273000000000002,61,62
2,2,0.9148,61,62
2,13,0.10255999999999996,62,63
2,2,0.028571,62,63
2,2,0.93396,62,63
2,2,0.8292700000000001,62,63
13,2,0.11864000000000001,63,64
2,2,0.90995,63,64
2,2,0.019417,63,64
2,2,0.91579,63,64
2,2,0.8804299999999999,64,65
2,2,0.8828799999999999,64,65
2,2,0.9171299999999999,65,66
2,13,0.4484800000000001,65,66
2,2,0.7582399999999999,65,66
2,2,0.84524,66,67
2,2,0.027211000000000003,66,67
2,2,0.0093897,66,67
13,2,0.54857,66,67
2,2,0.67708,66,67
2,2,0.8642,67,68
2,2,0.057971,67,68
2,2,0.010582,67,68
2,2,0.82906,67,68
2,15,0.17647000000000002,67,68
2,2,0.77249,68,69
2,2,0.037037,68,69
15,2,0.22034,68,69
2,2,0.010204000000000001,68,69
2,2,0.9058299999999999,68,69
2,2,0.018779,69,70
2,2,0.9181799999999999,69,70
2,2,0.8720399999999999,69,70
2,2,0.027523000000000002,69,70
2,2,0.91589,70,71
2,2,0.018265,70,71
2,2,0.92166,70,71
2,2,0.036697,71,72
2,2,0.9058299999999999,71,72
2,2,0.83486,71,72
