node1,node2,weight,time1,time2
1,1,0.94737,1,2
2,2,0.95238,1,2
2,2,0.92973,2,3
1,1,0.91026,2,3
1,1,0.87952,3,4
2,2,0.9375,3,4
2,2,0.88889,4,5
1,1,0.94915,4,5
2,3,0.090909,4,5
1,1,0.8284,5,6
2,2,0.80569,5,6
2,3,0.14286,5,6
1,3,0.22059,5,6
3,3,0.38596,5,6
1,2,0.012903,6,7
2,2,0.71508,6,7
1,1,0.53571,6,7
1,3,0.066667,6,7
2,3,0.26437,6,7
3,3,0.5641,6,7
1,4,0.51613,6,7
3,4,0.28571,6,7
2,3,0.046512,7,8
3,3,0.77419,7,8
1,4,0.097087,7,8
3,4,0.28369,7,8
4,4,0.73043,7,8
2,2,0.74684,7,8
1,2,0.22609,7,8
4,2,0.015625,8,9
2,2,0.78571,8,9
3,5,0.057143,8,9
2,5,0.24242,8,9
3,3,0.6055,8,9
4,3,0.26984,8,9
3,4,0.2931,8,9
4,4,0.63158,8,9
3,4,0.15686,9,10
4,4,0.69725,9,10
5,5,0.57627,9,10
3,5,0.2449,9,10
4,5,0.095238,9,10
2,2,0.84298,9,10
4,2,0.015873,9,10
3,3,0.73469,9,10
4,3,0.11429,9,10
4,2,0.066116,10,11
2,2,0.72464,10,11
4,5,0.18605,10,11
5,5,0.63415,10,11
2,5,0.058252,10,11
4,4,0.5641,10,11
3,4,0.27027,10,11
4,3,0.042105,10,11
5,3,0.32967,10,11
3,3,0.7033,10,11
2,5,0.054054,11,12
5,5,0.65487,11,12
4,5,0.07619,11,12
3,5,0.29508,11,12
5,3,0.043956,11,12
4,3,0.43373,11,12
3,3,0.62,11,12
2,2,0.82803,11,12
4,2,0.087719,11,12
3,2,0.027972,12,13
2,2,0.82759,12,13
5,6,0.047619,12,13
3,6,0.29032,12,13
5,5,0.67742,12,13
3,5,0.47561,12,13
5,7,0.051282,12,13
2,7,0.045977,12,13
5,5,0.89286,13,14
7,5,0.086207,13,14
2,2,0.867,13,14
6,2,0.081967,13,14
5,2,0.071429,13,14
5,5,0.92891,14,15
5,2,0.0091743,14,15
2,2,0.89908,14,15
5,5,0.92308,15,16
2,2,0.92453,15,16
5,2,0.038278,16,17
2,2,0.88584,16,17
5,5,0.87234,16,17
2,8,0.13115,17,18
5,5,0.89247,17,18
2,9,0.016667,17,18
5,9,0.080808,17,18
2,2,0.90233,17,18
5,5,0.86772,18,19
8,8,0.5,18,19
5,8,0.017094,18,19
2,8,0.048,18,19
9,2,0.10169,18,19
2,2,0.86385,18,19
5,5,0.78469,19,20
8,5,0.33577,19,20
2,5,0.0088889,19,20
5,2,0.0092593,19,20
8,2,0.013889,19,20
2,2,0.90517,19,20
5,2,0.037559,20,21
2,2,0.72727,20,21
5,5,0.80788,20,21
5,10,0.013423,20,21
2,10,0.4359,20,21
5,11,0.32353,20,21
5,5,0.78613,21,22
10,5,0.20168,21,22
5,11,0.2381,21,22
11,11,0.64407,21,22
2,2,0.83616,21,22
11,2,0.02,21,22
2,10,0.18841,21,22
10,10,0.51351,21,22
5,5,0.68063,22,23
2,5,0.010811,22,23
10,5,0.45205,22,23
5,2,0.071429,22,23
11,2,0.42953,22,23
2,2,0.67368,22,23
5,5,0.891,23,24
2,5,0.0092593,23,24
5,2,0.010152,23,24
2,2,0.83168,23,24
5,5,0.91089,24,25
2,2,0.90805,24,25
2,2,0.90361,25,26
2,12,0.087912,25,26
5,5,0.91457,25,26
2,12,0.022989,26,27
12,12,0.83333,26,27
2,2,0.90588,26,27
5,5,0.94416,26,27
2,2,0.95082,27,28
