node1,node2,weight,time1,time2
14,14,0.92391,1,2
4,4,0.9298200000000001,1,2
14,4,0.0087719,2,3
4,4,0.88446,2,3
14,14,0.9479200000000001,2,3
4,14,0.017166999999999998,3,4
14,14,0.8629399999999999,3,4
4,4,0.69198,3,4
14,4,0.049751,3,4
4,1,0.43275,3,4
14,14,0.8115899999999999,4,5
1,14,0.15172,4,5
14,41,0.12844,4,5
14,1,0.01626,4,5
4,1,0.06299199999999999,4,5
1,1,0.55738,4,5
14,4,0.028707999999999997,4,5
4,4,0.8826299999999999,4,5
14,55,0.30159,5,6
1,4,0.085714,5,6
4,4,0.57692,5,6
14,13,0.15135,5,6
41,13,0.18391,5,6
4,13,0.5240600000000001,5,6
14,14,0.6413,5,6
1,14,0.3,5,6
55,14,0.054054,6,7
4,14,0.057553999999999994,6,7
14,14,0.8520700000000001,6,7
4,4,0.70886,6,7
13,4,0.054545,6,7
55,13,0.22414,6,7
4,13,0.055555999999999994,6,7
13,13,0.85714,6,7
14,14,0.85083,7,8
4,14,0.08264500000000001,7,8
4,4,0.68085,7,8
14,7,0.20951999999999998,7,8
13,7,0.018182,7,8
4,13,0.031007999999999997,7,8
13,13,0.93814,7,8
4,13,0.017856999999999998,8,9
7,13,0.036364,8,9
13,13,0.93814,8,9
14,7,0.16364,8,9
7,7,0.58824,8,9
14,14,0.86364,8,9
4,14,0.058824,8,9
4,4,0.51613,8,9
13,4,0.10619,8,9
13,13,0.8808299999999999,9,10
7,13,0.034187999999999996,9,10
4,13,0.089286,9,10
14,14,0.8604700000000001,9,10
4,14,0.15842,9,10
13,7,0.086957,9,10
7,7,0.5483899999999999,9,10
14,7,0.125,9,10
13,14,0.011299,10,11
14,14,0.8915700000000001,10,11
13,7,0.33333,10,11
14,7,0.08,10,11
7,7,0.62595,10,11
13,13,0.75472,10,11
14,14,0.81212,11,12
13,14,0.19047999999999998,11,12
14,7,0.039216,11,12
7,7,0.81481,11,12
7,13,0.24675,11,12
13,13,0.62992,11,12
7,13,0.18487,12,13
13,13,0.5045,12,13
14,14,0.65591,12,13
13,14,0.40963999999999995,12,13
14,5,0.24528000000000005,12,13
7,5,0.06383,12,13
7,7,0.8550700000000001,12,13
13,7,0.015385,12,13
13,13,0.72917,13,14
14,13,0.039735,13,14
7,13,0.017391,13,14
14,5,0.040541,13,14
5,5,0.52941,13,14
7,5,0.25,13,14
13,7,0.098039,13,14
7,7,0.77686,13,14
13,14,0.028571,13,14
14,14,0.9230799999999999,13,14
13,7,0.019048,14,15
5,7,0.058824,14,15
7,7,0.8648600000000001,14,15
5,5,0.87129,14,15
7,5,0.072727,14,15
14,5,0.040541,14,15
13,13,0.72727,14,15
7,13,0.015747999999999998,14,15
14,13,0.26666999999999996,14,15
13,14,0.052632000000000005,14,15
14,14,0.74684,14,15
13,14,0.03252,15,16
14,14,0.72414,15,16
7,7,0.71154,15,16
5,7,0.038835,15,16
13,7,0.06666699999999999,15,16
7,5,0.098361,15,16
5,5,0.82645,15,16
14,5,0.076336,15,16
7,13,0.043477999999999996,15,16
13,13,0.84416,15,16
14,13,0.16327,15,16
14,13,0.20513,16,17
13,13,0.71622,16,17
7,7,0.67176,16,17
5,7,0.026846,16,17
13,7,0.30303,16,17
14,5,0.4586,16,17
5,5,0.73256,16,17
13,5,0.062112,17,18
5,5,0.8855700000000001,17,18
13,7,0.4466,17,18
7,7,0.72646,17,18
5,7,0.073171,17,18
5,22,0.044118,18,19
7,22,0.35359,18,19
5,7,0.010204000000000001,18,19
7,7,0.79668,18,19
5,5,0.93989,18,19
7,5,0.0087719,18,19
22,22,0.78049,19,20
7,22,0.042254,19,20
22,5,0.046154,19,20
5,5,0.93785,19,20
7,7,0.93596,19,20
5,7,0.010526,19,20
22,7,0.013244999999999998,20,21
7,7,0.93396,20,21
22,22,0.7469899999999999,20,21
5,22,0.015267,20,21
7,22,0.013888999999999999,20,21
22,5,0.15152000000000002,20,21
5,5,0.85556,20,21
7,4,0.034187999999999996,21,22
22,4,0.081633,21,22
7,5,0.008403399999999998,21,22
22,5,0.45882,21,22
5,5,0.73059,21,22
7,7,0.90741,21,22
5,7,0.010152,21,22
5,5,0.85714,22,23
4,7,0.018692,22,23
7,7,0.86408,22,23
4,4,0.37838,22,23
5,4,0.088608,22,23
7,4,0.13235,22,23
5,17,0.2,22,23
5,17,0.11679,23,24
7,17,0.10447999999999999,23,24
17,17,0.5,23,24
5,5,0.80909,23,24
4,5,0.34014,23,24
7,7,0.8529399999999999,23,24
4,7,0.059701,23,24
17,7,0.11110999999999999,23,24
17,17,0.69388,24,25
5,17,0.033149,24,25
7,17,0.21429,24,25
5,5,0.43137,24,25
5,5,0.67606,24,25
7,5,0.18,24,25
17,7,0.020202,24,25
7,7,0.69822,24,25
17,7,0.020833,25,26
7,7,0.65979,25,26
17,17,0.83221,25,26
5,17,0.066116,25,26
7,17,0.16,25,26
5,5,0.017093999999999998,25,26
5,5,0.64407,25,26
7,5,0.2328800000000001,25,26
5,5,0.55102,25,26
5,5,0.37975,25,26
7,7,0.48889,26,27
17,7,0.020408000000000003,26,27
17,17,0.85714,26,27
5,17,0.19277,26,27
7,5,0.17518,26,27
5,5,0.8387100000000001,26,27
5,5,0.083832,26,27
7,5,0.032787000000000004,26,27
5,5,0.018182,26,27
5,5,0.52747,26,27
7,5,0.055046000000000005,27,28
17,5,0.01,27,28
5,5,0.8258700000000001,27,28
5,5,0.016,27,28
5,5,0.23358,27,28
5,5,0.52459,27,28
17,17,0.9514600000000001,27,28
5,17,0.06106900000000001,27,28
5,5,0.93939,28,29
17,5,0.0098039,28,29
5,17,0.2,28,29
17,17,0.85455,28,29
5,5,0.052174,28,29
5,5,0.54902,28,29
5,5,0.90291,29,30
5,5,0.028986,29,30
17,5,0.11688,29,30
5,5,0.54545,29,30
5,27,0.018519,29,30
17,27,0.096774,29,30
17,17,0.8744200000000001,29,30
5,17,0.017241,29,30
5,5,0.8404299999999999,30,31
5,17,0.40437,30,31
17,17,0.7377,30,31
5,1,0.31724,30,31
27,1,0.29786999999999997,30,31
17,1,0.072464,30,31
17,17,0.7327600000000001,31,32
5,1,0.067797,31,32
17,1,0.3,31,32
1,1,0.55224,31,32
5,5,0.72993,31,32
1,5,0.06383,31,32
5,17,0.34711,31,32
17,17,0.1413,31,32
17,1,0.10471,32,33
1,1,0.8643200000000001,32,33
5,1,0.012579,32,33
1,5,0.075758,32,33
5,5,0.71739,32,33
17,17,0.62376,32,33
5,17,0.082353,32,33
17,17,0.4935100000000001,32,33
1,27,0.018018,33,34
5,27,0.22726999999999997,33,34
5,17,0.28736,33,34
17,17,0.80952,33,34
1,1,0.90566,33,34
5,1,0.055172000000000006,33,34
17,1,0.017937,33,34
17,31,0.21656,34,35
1,31,0.015625,34,35
27,17,0.032787000000000004,34,35
17,17,0.8968299999999999,34,35
1,17,0.0089686,34,35
1,1,0.93596,34,35
17,17,0.9416700000000001,35,36
1,17,0.009090899999999999,35,36
31,31,0.66667,35,36
17,31,0.013986000000000002,35,36
31,1,0.035088,35,36
1,1,0.96296,35,36
17,17,0.95276,36,37
31,17,0.025478,36,37
31,1,0.28169,36,37
1,1,0.85577,36,37
1,1,0.90351,37,38
17,43,0.014706,37,38
1,43,0.049587,37,38
17,17,0.89831,37,38
17,17,0.20134000000000002,37,38
1,17,0.044775999999999996,37,38
43,17,0.019802,38,39
17,17,0.85572,38,39
17,17,0.017544,38,39
1,1,0.37805,38,39
43,1,0.17544,38,39
17,1,0.050955,38,39
17,17,0.15385,38,39
17,17,0.51163,38,39
1,1,0.77228,38,39
17,1,0.11110999999999999,38,39
17,1,0.12987,39,40
1,1,0.74545,39,40
1,1,0.027027,39,40
1,1,0.14432999999999999,39,40
1,1,0.53333,39,40
17,17,0.034483,39,40
17,17,0.46602,39,40
1,17,0.5,39,40
17,17,0.84524,39,40
1,17,0.032257999999999995,39,40
1,17,0.027777999999999997,40,41
17,17,0.66667,40,41
17,17,0.33918000000000004,40,41
1,1,0.62069,40,41
1,1,0.49688999999999994,40,41
17,1,0.051546,40,41
17,1,0.10638,40,41
1,17,0.025315999999999998,40,41
17,17,0.4086,40,41
17,17,0.83744,41,42
1,17,0.018182,41,42
17,17,0.22399999999999998,41,42
17,1,0.018956999999999998,41,42
1,1,0.89474,41,42
17,41,0.037383,42,43
1,1,0.9315100000000001,42,43
17,17,0.9405899999999999,42,43
1,17,0.0095238,42,43
41,41,0.5,43,44
17,41,0.020202,43,44
1,17,0.0097561,43,44
17,17,0.96939,43,44
1,1,0.92381,43,44
1,27,0.037037,43,44
1,1,0.9519200000000001,44,45
41,41,0.8,44,45
17,41,0.019608,44,45
17,17,0.9596,44,45
1,1,0.875,45,46
41,1,0.018692,45,46
17,17,0.92079,45,46
1,8,0.10714000000000001,45,46
41,41,0.5,45,46
17,41,0.019231,45,46
1,8,0.18182,46,47
17,8,0.030534,46,47
8,8,0.33333,46,47
17,17,0.92079,46,47
1,1,0.81188,46,47
41,1,0.097087,46,47
17,23,0.37795,47,48
8,17,0.1875,47,48
17,17,0.63473,47,48
8,1,0.017241,47,48
17,1,0.02139,47,48
1,1,0.8602200000000001,47,48
8,8,0.5625,47,48
17,8,0.02963,47,48
1,8,0.1194,47,48
23,27,0.12,48,49
1,27,0.2,48,49
17,17,0.57143,48,49
1,17,0.021277,48,49
8,17,0.51471,48,49
23,1,0.1087,48,49
1,1,0.77632,48,49
23,23,0.42667,48,49
17,23,0.27826,48,49
1,23,0.05925900000000001,48,49
27,27,0.63636,49,50
1,27,0.023256,49,50
17,47,0.18182,49,50
27,1,0.042857,49,50
17,1,0.027523000000000002,49,50
1,1,0.62637,49,50
23,1,0.54545,49,50
27,17,0.039216,49,50
17,17,0.85556,49,50
27,17,0.038462,50,51
17,17,0.96296,50,51
47,1,0.092308,50,51
1,1,0.88235,50,51
27,27,0.61538,50,51
1,27,0.12162,50,51
17,1,0.015385,51,52
1,1,0.29762,51,52
27,1,0.28205,51,52
1,1,0.85455,51,52
17,17,0.8764,51,52
27,17,0.22221999999999997,51,52
1,1,0.65041,52,53
1,1,0.16,52,53
17,1,0.15205,52,53
1,17,0.044118,52,53
17,17,0.81522,52,53
1,1,0.014925,52,53
1,1,0.84946,52,53
17,1,0.032967,52,53
17,1,0.23669,53,54
1,1,0.58683,53,54
1,19,0.10255999999999996,53,54
1,19,0.48438000000000003,53,54
1,1,0.8082199999999999,53,54
17,1,0.012579,53,54
1,17,0.086957,53,54
17,17,0.7417199999999999,53,54
19,1,0.075188,54,55
1,1,0.82716,54,55
17,1,0.14286,54,55
19,17,0.032787000000000004,54,55
1,17,0.088889,54,55
17,17,0.34146,54,55
1,19,0.2406,54,55
19,19,0.65957,54,55
1,1,0.7471300000000001,54,55
19,1,0.014815,54,55
17,1,0.29486999999999997,54,55
19,30,0.16949,55,56
1,30,0.04,55,56
1,1,0.0097561,55,56
17,1,0.18045,55,56
19,1,0.10843,55,56
1,1,0.8309200000000001,55,56
1,1,0.80392,55,56
17,1,0.060605999999999986,55,56
19,1,0.29091,55,56
30,1,0.10084,56,57
1,1,0.008849600000000001,56,57
1,1,0.88889,56,57
1,15,0.095238,56,57
1,15,0.048,56,57
1,1,0.8972,56,57
1,1,0.88889,57,58
1,1,0.028037,57,58
15,1,0.21053000000000002,57,58
1,1,0.80198,57,58
1,5,0.11510999999999999,57,58
1,5,0.12598,57,58
